,Tp,M,Name,Num_obs,Synodic_period,Perturbers_2,Ref,NEO_flag,Perturbers,Perihelion_dist,Aphelion_dist,Computer,Node,H,rms,Number,n,Num_opps,One_km_NEO_flag,Orbital_period,Peri,G,Principal_desig,e,Epoch,Arc_years,Semilatus_rectum,i,U,a,Last_obs,Hex_flags,PHA_flag,Critical_list_numbered_object_flag,Arc_length,One_opposition_object_flag
60,2456696.157,161.9122,Wilson-Harrington,852,1.3041783,3Eh,MPO332856,1,M-h,0.9844814,4.2939206,MPCLINUX,269.21653,15.99,0.51,-4015,0.22987692,17,1,4.2875451,92.63706,0.15,1979 VA,0.6269775,2457400.5,1949-2015,0.8008645,2.76832,0,2.639201,3/19/15,9803,1,NA,NA,NA
61,2457523.294,249.06508,Vishnu,465,11.992407,3Eh,MPO344332,1,M-h,0.589194,1.5303334,MPCLINUX,157.96075,18.4,0.51,-4034,0.90342175,16,NA,1.0909719,296.62477,0.15,1986 PA,0.4440327,2457400.5,1986-2015,0.4254077,11.16902,1,1.0597637,7/6/15,8803,1,NA,NA,NA
62,2457243.283,63.10054,Magellan,2656,1.6869653,38h,MPO371009,1,M-v,1.2258586,2.4145006,MPCLINUX,164.84999,14.7,0.41,-4055,0.40135872,17,1,2.4556777,154.37003,0.15,1985 DO2,0.3265178,2457400.5,1985-2015,0.8130616,23.25768,0,1.8201796,12/14/15,1804,NA,NA,NA,NA
63,2457720.29,281.88328,Toutatis,5320,1.3295079,3Eh,MPO344333,1,M-v,0.9393111,4.1295851,MPCW,124.37362,15.3,0.57,-4179,0.24427497,25,1,4.0348287,278.72596,0.1,1989 AC,0.6293824,2457400.5,1934-2015,0.7652485,0.44712,0,2.5344481,7/19/15,9803,1,NA,NA,NA
64,2457042.369,126.46166,Cuno,1763,1.5582929,3Eh,MPO371010,1,M-v,0.7247399,3.2400603,MPCW,294.92953,14.4,0.5,-4183,0.35311576,25,1,2.7911744,236.2885,0.15,1959 LM,0.6344129,2457400.5,1986-2015,0.5922621,6.70654,0,1.9824001,10/25/15,9803,1,NA,NA,NA
65,2456800.132,170.0121,Morpheus,660,1.4031444,3Eh,MPO279558,1,M-v,0.5240437,4.0692531,MPCW,7.18589,14.6,0.67,-4197,0.28317982,17,1,3.4805011,122.40771,0.15,1982 TA,0.7718224,2457400.5,1954-2013,0.4642562,12.57697,0,2.2966484,12/4/13,1803,NA,NA,NA,NA
66,2457167.012,108.8779,Ubasti,610,1.8979629,3Eh,MPO298992,1,M-h,0.8756556,2.4182884,MPCLINUX,169.21517,15.8,0.49,-4257,0.46631001,16,1,2.1136317,278.93361,0.15,1987 QA,0.4683239,2457400.5,1987-2014,0.6428731,40.71705,0,1.646972,6/26/14,1803,NA,NA,NA,NA
67,2457765.443,215.32351,Poseidon,397,1.6728695,3Eh,MPO344335,1,M-h,0.5880506,3.0823838,MPCLINUX,108.12099,16,0.55,-4341,0.39643581,17,1,2.4861722,15.65044,0.15,1987 KF,0.6795744,2457400.5,1987-2015,0.4938373,11.85246,1,1.8352172,8/2/15,1803,NA,NA,NA,NA
68,2457010.539,92.76945,Aditi,587,1.3181623,38h,MPO347558,1,M-v,1.1222307,4.0369027,MPCLINUX,22.911,16,0.48,-4401,0.23789425,9,1,4.1430497,68.15904,0.15,1985 TB,0.5649538,2457400.5,1985-2015,0.8781196,26.65198,0,2.5795667,5/10/15,5804,NA,1,NA,NA
69,2457099.47,171.29742,Pan,859,2.3660122,3Eh,MPO371013,1,M-h,0.5963076,2.2881994,MPCLINUX,311.85262,17.1,0.5,-4450,0.56903851,20,1,1.7320579,291.77558,0.15,1987 SY,0.5865445,2457400.5,1987-2015,0.4730343,5.51978,0,1.4422535,12/13/15,9803,1,NA,NA,NA
